Id,name,company,location,position,type,or
u30,DieTop30bis30desJahres,Mediummagazin,,,nominierung,
UCL,UniversityCollegeLondon,,London,,education,
UlBu,UllsteinBuchverlageGmbH,UllsteinBuchverlageGmbH,Berlin,,education,
UnAa,AarhusUniversity,,Aarhus,,education,
UnBA,UniversidadDeBuenosAires,,BuenosAires,,education,
UnBi,UniversitaetBielefeld,,Bielefeld,,education,
UnBM,UniversitaetderBundeswehr,,Muenchen,,education,
UnBo,UniversitartBonn,,Bonn,,education,
UnBr,UniversityOfBristol,,Bristol,,education,
UnBuAi,UniversitaetBuenosAires,,BuenosAires,,education,
UnCo,UniversityofCopenhagen,,Copenhagen,,education,
UnDu,UniversitaetDuesseldorf,,Duesseldorf,,education,
UnEAS,UniversityofEuropeforAppliedSciences,,Potsdam,,education,
UnEd,UniversityofEdinburgh,,Edinburgh,,education,
UnGr,UniversitaetGroningen,,Groningen,,education,
UnHa,UniversitaetHamburg,,Hamburg,,education,
UnHav,UniversityofHavana,,Havana,,education,
UnHe,UniversitaetHeidelberg,,Heidelberg,,education,
UnHo,UniversitaetHohenheim,,Stuttgart,,education,
UnJe,UniversitaetJena,,Jena,,education,
UnKo,UniversitaetKonstanz,,Konstanz,,education,
UnKoe,UniversitaetKoeln,,Koeln,,education,
UnKu,UniversitaetDerKuenste,,Berlin,,education,
UnLe,UniversitaetLeipzig,,Leipzig,,education,
UnLo,UniversityofLondon,,London,,education,
SOUnLo,SOUniversityofLondon,,London,,education,
UnLu,UniversitaetLuxemburg,,Luxemburg,,education,
UnMa,UniversitaetMainz,,Mainz,,education,
UnMan,UniversitaetMannheim,,Mannheim,,education,
UnMue,UniversitaetMuenster,,Muenster,,education,
